"Repo","Skill","Status","Source","Dest"
"AI-Trader","ai-trader","installed","skills/ai4trade/SKILL.md","C:\Users\lixue\.codex\skills\ai-trader"
"AI-Trader","ai-trader-copytrade","installed","skills/copytrade/SKILL.md","C:\Users\lixue\.codex\skills\ai-trader-copytrade"
"AI-Trader","ai-trader-heartbeat","installed","skills/heartbeat/SKILL.md","C:\Users\lixue\.codex\skills\ai-trader-heartbeat"
"AI-Trader","market-intel","installed","skills/market-intel/SKILL.md","C:\Users\lixue\.codex\skills\market-intel"
"AI-Trader","polymarket-public-data","installed","skills/polymarket/SKILL.md","C:\Users\lixue\.codex\skills\polymarket-public-data"
"AI-Trader","ai-trader-tradesync","installed","skills/tradesync/SKILL.md","C:\Users\lixue\.codex\skills\ai-trader-tradesync"
"scientific-agent-skills","adaptyv","installed","skills/adaptyv/SKILL.md","C:\Users\lixue\.codex\skills\adaptyv"
"scientific-agent-skills","aeon","installed","skills/aeon/SKILL.md","C:\Users\lixue\.codex\skills\aeon"
"scientific-agent-skills","anndata","installed","skills/anndata/SKILL.md","C:\Users\lixue\.codex\skills\anndata"
"scientific-agent-skills","arbor","installed","skills/arbor/SKILL.md","C:\Users\lixue\.codex\skills\arbor"
"scientific-agent-skills","arboreto","installed","skills/arboreto/SKILL.md","C:\Users\lixue\.codex\skills\arboreto"
"scientific-agent-skills","astropy","installed","skills/astropy/SKILL.md","C:\Users\lixue\.codex\skills\astropy"
"scientific-agent-skills","autoskill","installed","skills/autoskill/SKILL.md","C:\Users\lixue\.codex\skills\autoskill"
"scientific-agent-skills","benchling-integration","installed","skills/benchling-integration/SKILL.md","C:\Users\lixue\.codex\skills\benchling-integration"
"scientific-agent-skills","bgpt-paper-search","installed","skills/bgpt-paper-search/SKILL.md","C:\Users\lixue\.codex\skills\bgpt-paper-search"
"scientific-agent-skills","bids","installed","skills/bids/SKILL.md","C:\Users\lixue\.codex\skills\bids"
"scientific-agent-skills","biopython","installed","skills/biopython/SKILL.md","C:\Users\lixue\.codex\skills\biopython"
"scientific-agent-skills","bioservices","installed","skills/bioservices/SKILL.md","C:\Users\lixue\.codex\skills\bioservices"
"scientific-agent-skills","bulk-rnaseq","installed","skills/bulk-rnaseq/SKILL.md","C:\Users\lixue\.codex\skills\bulk-rnaseq"
"scientific-agent-skills","cellxgene-census","installed","skills/cellxgene-census/SKILL.md","C:\Users\lixue\.codex\skills\cellxgene-census"
"scientific-agent-skills","cirq","installed","skills/cirq/SKILL.md","C:\Users\lixue\.codex\skills\cirq"
"scientific-agent-skills","citation-management","installed","skills/citation-management/SKILL.md","C:\Users\lixue\.codex\skills\citation-management"
"scientific-agent-skills","clinical-decision-support","installed","skills/clinical-decision-support/SKILL.md","C:\Users\lixue\.codex\skills\clinical-decision-support"
"scientific-agent-skills","clinical-reports","installed","skills/clinical-reports/SKILL.md","C:\Users\lixue\.codex\skills\clinical-reports"
"scientific-agent-skills","cobrapy","installed","skills/cobrapy/SKILL.md","C:\Users\lixue\.codex\skills\cobrapy"
